subject,university_name
Computer Science,Peking University
Computer Science,Beihang University
Computer Science,Harbin Institute of Technology
Computer Science,Shanghai Jiao Tong University
Computer Science,Zhejiang University
Computer Science,Nanjing University
Computer Science,University of Science and Techology of China
Computer Science,Northeastern University
Computer Science,Huazhong University of Science and Technology
Computer Science,Beijing University of Posts and Telecommunications
Computer Science,Tongji University
Computer Science,WUHAN UNIVERSITY
Computer Science,University of Electronic Science and Technology of China
Computer Science,Northwest Polytechnical University
Computer Science,Fudan University
Computer Science,Southeast University
Computer Science,SUN YAT-SEN UNIVERSITY
Computer Science,Jilin University
Computer Science,CENTRAL SOUTH UNIVERSITY
Computer Science,Sichuan University
Computer Science,Chongqing University
Computer Science,Xian Jiaotong University
Computer Science,Xidian University
Computer Science,Renmin University of China
Computer Science,Beijing Jiaotng University
Computer Science,Beijing University of Technology
Computer Science,Beijing Institue of Technology
Computer Science,Tianjin University
Computer Science,Hefei University of Techology
Computer Science,Hunan University
Computer Science,University of Science and Technology Beijing
Computer Science,Dalian University of Technology
Computer Science,Harbin Engineering University
Computer Science,Nanjing University of Aeronautics and Astronautics
Computer Science,SHANDONG UNIVERSITY
Computer Science,Beijing Normal University
Computer Science,Nankai University
Computer Science,East China Normal University
Computer Science,Peking University
Computer Science,Beihang University
Computer Science,Harbin Institute of Technology
Computer Science,Shanghai Jiao Tong University
Computer Science,Zhejiang University
Computer Science,Nanjing University
Computer Science,University of Science and Techology of China
Computer Science,Northeastern University
Computer Science,Huazhong University of Science and Technology
Computer Science,Beijing University of Posts and Telecommunications
Computer Science,Tongji University
Computer Science,WUHAN UNIVERSITY
Computer Science,University of Electronic Science and Technology of China
Computer Science,Northwest Polytechnical University
Computer Science,Fudan University
Computer Science,Southeast University
Computer Science,SUN YAT-SEN UNIVERSITY
Computer Science,Jilin University
Computer Science,CENTRAL SOUTH UNIVERSITY
Computer Science,Sichuan University
Computer Science,Chongqing University
Computer Science,Xian Jiaotong University
Computer Science,Xidian University
